so_number,product_code,quantity,unit_price,line_total,order_date,customer_code,customer_name,province_name,product_name,color,line_name,group_code,group_name,fiscal_year,fiscal_month
BH25.0014,000225002015000,3.0,1180000.0,3540000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000225002025000,2.0,1180000.0,2360000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000125002009000,2.0,1050000.0,2100000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000125002002000,1.0,1050000.0,1050000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,1000240020090000,3.0,500000.0,1500000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,1000240020220000,2.0,500000.0,1000000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,1000230020090000,3.0,470000.0,1410000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,1000220020090000,3.0,500000.0,1500000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,1000220020220000,1.0,500000.0,500000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,1000270020220000,3.0,500000.0,1500000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000217003001000,3.0,1250000.0,3750000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000217003008000,2.0,1250000.0,2500000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000333002001000,2.0,1300000.0,2600000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000333002022000,1.0,1300000.0,1300000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0015,1000300050010000,1.0,2150000.0,2150000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,1000300050080000,1.0,2150000.0,2150000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,1000300050080000,3.0,2150000.0,6450000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000217003005000,1.0,1250000.0,1250000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000217003001000,2.0,1250000.0,2500000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000218003008000,1.0,1270000.0,1270000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000218003001000,2.0,1270000.0,2540000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000218003005000,1.0,1270000.0,1270000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000214004000000,2.0,1250000.0,2500000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0015,000224002026000,1.0,1130000.0,1130000.0,2025-01-10,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,,,,,,2025,1
BH25.0016,000226003015000,1.0,1200000.0,1200000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000225002023000,5.0,1180000.0,5900000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000224002023000,3.0,1130000.0,3390000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000216003008000,2.0,1200000.0,2400000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000226003023000,1.0,1200000.0,1200000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000225002002000,2.0,1180000.0,2360000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000225002025000,1.0,1180000.0,1180000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000401002022000,10.0,1300000.0,13000000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000216003001000,3.0,1200000.0,3600000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0016,000331002022000,2.0,1250000.0,2500000.0,2025-01-10,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,,,,,,2025,1
BH25.0017,000225002023000,5.0,1180000.0,5900000.0,2025-01-10,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,,,,,,2025,1
BH25.0017,000225002002000,5.0,1180000.0,5900000.0,2025-01-10,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,,,,,,2025,1
BH25.0017,000225002009000,5.0,1180000.0,5900000.0,2025-01-10,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,,,,,,2025,1
BH25.0017,000224002002000,2.0,1130000.0,2260000.0,2025-01-10,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,,,,,,2025,1
BH25.0017,000224002023000,2.0,1130000.0,2260000.0,2025-01-10,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,,,,,,2025,1
BH25.0017,000224002009000,1.0,1130000.0,1130000.0,2025-01-10,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,,,,,,2025,1
BH25.0018,000226003002000,1.0,1200000.0,1200000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000330002001000,1.0,1200000.0,1200000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000224002015000,1.0,1130000.0,1130000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000224002026000,1.0,1130000.0,1130000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000225002023000,2.0,1180000.0,2360000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000125002009000,1.0,1050000.0,1050000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000125002013000,1.0,1050000.0,1050000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000333002001000,1.0,1300000.0,1300000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000333002022000,1.0,1300000.0,1300000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000226003014000,1.0,1200000.0,1200000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0018,000314002005000,10.0,1200000.0,12000000.0,2025-01-10,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,,,,,,2025,1
BH25.0019,1000210020090000,4.0,1062314.81,4249259.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,1000340010090000,4.0,1418796.3,5675185.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,1000250020050000,1.0,1133611.11,1133611.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,1000330010240000,4.0,1490092.59,5960370.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,1040010000080000,4.0,1490092.59,5960370.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000124002009000,1.0,1775277.78,1775278.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,1000320010090000,4.0,1703981.48,6815926.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000226003015000,3.0,1996296.3,5988889.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000227002009000,1.0,1846574.07,1846574.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000330002002200,2.0,1917870.37,3835741.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000231003002000,5.0,2844722.22,14223611.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000217003005000,1.0,1846574.07,1846574.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0019,000225002007000,1.0,1917870.37,1917870.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0020,000331002008000,30.0,2076388.88,62291666.0,2025-01-11,KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,,,,,,2025,1
BH25.0020,000331002022000,30.0,2076388.88,62291666.0,2025-01-11,KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,,,,,,2025,1
BH25.0021,000218002007000,40.0,2175925.92,87037037.0,2025-01-11,KH-00021,HỘ KINH DOANH XÂY DỰNG,Hà Nội,,,,,,2025,1
BH25.0022,1000210020090000,1.0,1062314.81,1062315.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1000340010090000,2.0,1418796.3,2837593.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1000220020220000,2.0,1133611.11,2267222.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1000250020050000,1.0,1133611.11,1133611.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1000270020150000,2.0,1133611.11,2267222.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1000330010240000,2.0,1490092.59,2980185.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1040010000080000,1.0,1490092.59,1490093.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,1000320010090000,2.0,1703981.48,3407963.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,000304002004000,2.0,1960648.15,3921296.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,000330002002200,2.0,1917870.37,3835741.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,000314002019000,1.0,2488240.74,2488241.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,000231003002000,1.0,2844722.22,2844722.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,000217003005000,1.0,1846574.07,1846574.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0022,000225002007000,2.0,1917870.37,3835741.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,1000210020090000,4.0,1062314.81,4249259.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,1000340010090000,4.0,1418796.3,5675185.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,1000220020220000,2.0,1133611.11,2267222.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,1000330010240000,4.0,1490092.59,5960370.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,1000270020150000,1.0,1133611.11,1133611.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,1000320010090000,4.0,1703981.48,6815926.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,000304002004000,1.0,1960648.15,1960648.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,000330002002200,4.0,1917870.37,7671481.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,000217003005000,3.0,1846574.07,5539722.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,000231003002000,3.0,2844722.22,8534167.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,000217004005000,1.0,2488240.74,2488241.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0023,000225002007000,2.0,1917870.37,3835741.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,1000210020090000,3.0,1062314.81,3186944.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,1000250020050000,1.0,1133611.11,1133611.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,1000270020150000,1.0,1133611.11,1133611.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,1040010000080000,2.0,1490092.59,2980185.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,000123002009000,2.0,1561388.89,3122778.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,000124002009000,3.0,1775277.78,5325833.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,1000320010090000,1.0,1703981.48,1703981.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,000330002002200,1.0,1917870.37,1917870.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,000231003002000,1.0,2844722.22,2844722.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,000217003005000,3.0,1846574.07,5539722.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0024,000217004005000,3.0,2488240.74,7464722.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0025,1000210020090000,9.0,1062314.81,9560833.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0025,1000340010090000,1.0,1418796.3,1418796.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0025,1000220020090000,3.0,1133611.11,3400833.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0025,1000270020220000,2.0,1133611.11,2267222.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0025,1000250020220000,6.0,1133611.11,6801667.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0025,1040010000080000,4.0,1490092.59,5960370.0,2025-01-11,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,,,,,,2025,1
